dataset,method,top1_accuracy,top5_accuracy,ece,quant_type,exp_name
fog,cazo,68.529999,88.085999,0.047672,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
brightness,cazo,78.325996,94.568001,0.05604,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
contrast,cazo,48.223999,71.858002,0.035992,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
elastic_transform,cazo,67.084,87.015999,0.040689,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
pixelate,cazo,70.737999,90.051994,0.045256,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
jpeg_compression,cazo,70.493996,89.917999,0.046525,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
gaussian_noise,foa,49.48,72.762001,0.040472,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
shot_noise,foa,50.085999,73.473999,0.037691,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
impulse_noise,foa,53.253998,76.311996,0.032237,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
defocus_blur,foa,47.907997,71.781998,0.026821,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
glass_blur,foa,35.905998,58.826,0.023443,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
motion_blur,foa,48.913998,72.208,0.046246,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
zoom_blur,foa,44.891998,68.321999,0.031286,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
snow,foa,59.007999,80.773994,0.077028,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
frost,foa,64.517998,85.153999,0.057212,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
fog,foa,68.159996,87.972,0.070726,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
brightness,foa,76.017998,93.444,0.060273,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
contrast,foa,42.571999,65.627998,0.054181,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
elastic_transform,foa,48.275997,71.893997,0.027453,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
pixelate,foa,65.306,86.456001,0.052692,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
jpeg_compression,foa,66.970001,87.659996,0.057019,quant6_bs64,foa_quant6_bs64_prompts3_lambda0.4
gaussian_noise,t3a,43.068001,61.48,0.321962,quant6_bs64,t3a_quant6_bs64_classification
shot_noise,t3a,42.003998,60.579998,0.347498,quant6_bs64,t3a_quant6_bs64_classification
impulse_noise,t3a,44.045998,62.806,0.319576,quant6_bs64,t3a_quant6_bs64_classification
defocus_blur,t3a,39.641998,57.807999,0.322879,quant6_bs64,t3a_quant6_bs64_classification
glass_blur,t3a,31.65,48.362,0.3981,quant6_bs64,t3a_quant6_bs64_classification
motion_blur,t3a,44.733997,63.383999,0.337163,quant6_bs64,t3a_quant6_bs64_classification
zoom_blur,t3a,38.365997,55.514,0.383483,quant6_bs64,t3a_quant6_bs64_classification
snow,t3a,55.977997,74.610001,0.28667,quant6_bs64,t3a_quant6_bs64_classification
frost,t3a,60.549999,78.512001,0.261034,quant6_bs64,t3a_quant6_bs64_classification
fog,t3a,63.059998,79.987999,0.0735,quant6_bs64,t3a_quant6_bs64_classification
brightness,t3a,75.236,91.533997,0.181945,quant6_bs64,t3a_quant6_bs64_classification
contrast,t3a,24.298,35.149998,0.099408,quant6_bs64,t3a_quant6_bs64_classification
elastic_transform,t3a,43.245998,61.161999,0.348834,quant6_bs64,t3a_quant6_bs64_classification
pixelate,t3a,60.459999,80.003998,0.284065,quant6_bs64,t3a_quant6_bs64_classification
jpeg_compression,t3a,66.178001,84.68,0.245813,quant6_bs64,t3a_quant6_bs64_classification
gaussian_noise,no_adapt,44.021999,66.757996,0.090922,quant6_bs64,no_adapt_quant6_bs64_baseline
shot_noise,no_adapt,42.596001,65.568001,0.059985,quant6_bs64,no_adapt_quant6_bs64_baseline
impulse_noise,no_adapt,44.708,67.764,0.092796,quant6_bs64,no_adapt_quant6_bs64_baseline
defocus_blur,no_adapt,38.177998,60.237999,0.041858,quant6_bs64,no_adapt_quant6_bs64_baseline
glass_blur,no_adapt,28.667999,49.523998,0.051535,quant6_bs64,no_adapt_quant6_bs64_baseline
motion_blur,no_adapt,43.475998,66.164001,0.0334,quant6_bs64,no_adapt_quant6_bs64_baseline
zoom_blur,no_adapt,35.667999,57.243999,0.042811,quant6_bs64,no_adapt_quant6_bs64_baseline
snow,no_adapt,52.587997,77.545998,0.025409,quant6_bs64,no_adapt_quant6_bs64_baseline
frost,no_adapt,60.545998,81.355995,0.168957,quant6_bs64,no_adapt_quant6_bs64_baseline
fog,no_adapt,58.973999,79.841995,0.352158,quant6_bs64,no_adapt_quant6_bs64_baseline
brightness,no_adapt,74.991997,92.835999,0.115953,quant6_bs64,no_adapt_quant6_bs64_baseline
contrast,no_adapt,25.414,41.365997,0.156352,quant6_bs64,no_adapt_quant6_bs64_baseline
elastic_transform,no_adapt,38.879997,61.43,0.043481,quant6_bs64,no_adapt_quant6_bs64_baseline
pixelate,no_adapt,59.666,81.991997,0.050914,quant6_bs64,no_adapt_quant6_bs64_baseline
jpeg_compression,no_adapt,65.215996,86.585999,0.070627,quant6_bs64,no_adapt_quant6_bs64_baseline
gaussian_noise,zo_base,48.473999,72.073997,0.023362,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
shot_noise,zo_base,48.18,71.582001,0.02808,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
